pulsera,bracelet,accessories
reloj,watch,accessories
gafas,glasses,accessories
sombrero,hat,accessories
anillo,ring,accessories
cinturón,belt,accessories
bufanda,scarf,accessories
guantes,gloves,accessories
collar,necklace,accessories
bolso,bag,accessories
corbata,tie,accessories
paraguas,umbrella,accessories
pendientes,earrings,accessories
mochila,backpack,accessories
pañuelo,hankerchief,accessories
pájaro,bird,birds
águila,eagle,birds
búho,owl,birds
pato,duck,birds
gaviota,seagull,birds
cuervo,crow,birds
colibrí,hummingbird,birds
pingüino,penguin,birds
canario,canary,birds
cisne,swan,birds
loro,parrot,birds
águila calva,bald eagle,birds
gorrión,sparrow,birds
flamenco,flamingo,birds
cuco,cuckoo,birds
cabeza,head,body
ojos,eyes,body
nariz,nose,body
boca,mouth,body
orejas,ears,body
cabello,hair,body
mano,hand,body
dedo,finger,body
pierna,leg,body
pie,foot,body
brazo,arm,body
cuello,neck,body
espalda,back,body
cara,face,body
uñas,nails,body
camisa,shirt,clothes
pantalones,pants,clothes
vestido,dress,clothes
zapatos,shoes,clothes
calcetines,socks,clothes
bufanda,scarf,clothes
abrigo,coat,clothes
guantes,gloves,clothes
falda,skirt,clothes
corbata,tie,clothes
pijama,pajamas,clothes
ropa interior,underwear,clothes
suéter,sweater,clothes
chaqueta,jacket,clothes
rojo,red,colors
azul,blue,colors
amarillo,yellow,colors
verde,green,colors
naranja,orange,colors
morado,purple,colors
rosa,pink,colors
blanco,white,colors
negro,black,colors
gris,gray,colors
marrón,brown,colors
dorado,golden,colors
plateado,silver,colors
turquesa,turquoise,colors
crema,cream,colors
árbol,tree,forest
bosque,forest,forest
hoja,leaf,forest
río,river,forest
arbusto,shrub,forest
tronco,trunk,forest
sendero,trail,forest
musgo,moss,forest
fauna,fauna,forest
cascada,waterfall,forest
pájaro,bird,forest
conejo,rabbit,forest
ciervo,deer,forest
mariposa,butterfly,forest
manzana,apple,fruits
plátano,banana,fruits
naranja,orange,fruits
fresa,strawberry,fruits
uva,grape,fruits
piña,pineapple,fruits
pera,pear,fruits
sandía,watermelon,fruits
melocotón,peach,fruits
cereza,cherry,fruits
ciruela,plum,fruits
frambuesa,raspberry,fruits
puerta,door,house
ventana,window,house
techo,roof,house
pared,wall,house
suelo,floor,house
escalera,staircase,house
sala,living room,house
baño,bathroom,house
dormitorio,bedroom,house
lámpara,lamp,house
alfombra,rug,house
armario,closet,house
llave,key,house
espejo,mirror,house
mesa,table,house
mosca,fly,insects
abeja,bee,insects
mariposa,butterfly,insects
hormiga,ant,insects
araña,spider,insects
escarabajo,beetle,insects
libélula,dragonfly,insects
grillo,cricket,insects
cucaracha,cockroach,insects
mariquita,ladybug,insects
polilla,moth,insects
mosquito,mosquito,insects
pulga,flea,insects
oruga,caterpillar,insects
saltamontes,grasshopper,insects
médico,doctor,jobs
maestro,teacher,jobs
bombero,firefighter,jobs
policía,police officer,jobs
chef,cook,jobs
actor,actor,jobs
músico,musician,jobs
enfermero,nurse,jobs
abogado,lawyer,jobs
escritor,writer,jobs
ingeniero,engineer,jobs
veterinario,veterinarian,jobs
peluquero,hairdresser,jobs
programador,programmer,jobs
arquitecto,architect,jobs
sartén,pan,kitchen
cuchillo,knife,kitchen
tenedor,fork,kitchen
plato,plate,kitchen
taza,mug,kitchen
cuchara,spoon,kitchen
horno,oven,kitchen
nevera,fridge,kitchen
vaso,glass,kitchen
olla,pot,kitchen
sal,salt,kitchen
pimienta,pepper,kitchen
cucharón,ladle,kitchen
batidora,blender,kitchen
tabla de cortar,cutting board,kitchen
libro,book,library
estante,shelf,library
escritorio,desk,library
lámpara de escritorio,desk lamp,library
silla de lectura,reading chair,library
pluma,pen,library
papel,paper,library
estantería de libros,bookcase,library
revista,magazine,library
biblioteca,library,library
computadora,computer,library
diccionario,dictionary,library
cuaderno,notebook,library
estilográfica,fountain pen,library
periódico,newspaper,library
naturaleza,nature,nature
paisaje,landscape,nature
montaña,mountain,nature
desierto,desert,nature
sol,sun,nature
luna,moon,nature
estrella,star,nature
nube,cloud,nature
lluvia,rain,nature
nieve,snow,nature
viento,wind,nature
arco iris,rainbow,nature
flor,flower,nature
mar,sea,nature
parque,park,park
banco,bench,park
columpio,swing,park
césped,lawn,park
fuente,fountain,park
sendero,trail,park
arbusto,shrub,park
estanque,pond,park
estatua,statue,park
área de juegos,playground,park
jardín ,garden,park
picnic,picnic,park
área de picnic,picnic area,park
parque infantil,children's park,park
mar,sea,sea
océano,ocean,sea
playa,beach,sea
arena,sand,sea
olas,waves,sea
pez,fish,sea
tiburón,shark,sea
concha,shell,sea
barco,boat,sea
faro,lighthouse,sea
isla,island,sea
puerto,harbor,sea
submarino,submarine,sea
marea,tide,sea
corriente,current,sea
tienda,shop,shopping
compras,shopping,shopping
caja,checkout,shopping
efectivo,cash,shopping
tarjeta de crédito,credit card,shopping
cliente,customer,shopping
carrito de compras,shopping cart,shopping
oferta,sale,shopping
probador,fitting room,shopping
escaparate,storefront,shopping
recibo,receipt,shopping
rebaja,discount,shopping
bolsa,bag,shopping
etiqueta,label,shopping
mercancía,merchandise,shopping
espacio,space,space
estrella,star,space
planeta,planet,space
galaxia,galaxy,space
astronauta,astronaut,space
cohete,rocket,space
satélite,satellite,space
órbita,orbit,space
universo,universe,space
cometa,comet,space
alienígena,alien,space
nebulosa,nebula,space
gravedad,gravity,space
exploración,exploration,space
fútbol,soccer,sports
baloncesto,basketball,sports
natación,swimming,sports
ciclismo,cycling,sports
atletismo,athletics,sports
béisbol,baseball,sports
esquí,skiing,sports
equitación,horseback riding,sports
gimnasia,gymnastics,sports
voleibol,volleyball,sports
deporte,sport,sports
equipo,team,sports
balón,ball,sports
atleta,athlete,sports
transporte,transport,transport
coche,car,transport
autobús,bus,transport
bicicleta,bicycle,transport
avión,airplane,transport
tren,train,transport
barco,boat,transport
motocicleta,motorcycle,transport
camión,truck,transport
metro,subway,transport
patinete,scooter,transport
helicóptero,helicopter,transport
tráfico,traffic,transport
semáforo,traffic light,transport
conductor,driver,transport
zanahoria,carrot,vegetables
tomate,tomato,vegetables
lechuga,lettuce,vegetables
patata,potato,vegetables
cebolla,onion,vegetables
espinaca,spinach,vegetables
calabacín,zucchini,vegetables
pimiento,pepper,vegetables
champiñón,mushroom,vegetables
col,cabbage,vegetables
judía verde,green bean,vegetables
ajo,garlic,vegetables
pepino,cucumber,vegetables
berenjena,eggplant,vegetables
